First Name,Last Name,SID,Email,Sections,PS1,PS1 - Max Points,PS1 - Submission Time,PS1 - Lateness (H:M:S),PS2,PS2 - Max Points,PS2 - Submission Time,PS2 - Lateness (H:M:S),PS3,PS3 - Max Points,PS3 - Submission Time,PS3 - Lateness (H:M:S),PS4,PS4 - Max Points,PS4 - Submission Time,PS4 - Lateness (H:M:S),Bonus PS1,Bonus PS1 - Max Points,Bonus PS1 - Submission Time,Bonus PS1 - Lateness (H:M:S),Bonus PS2,Bonus PS2 - Max Points,Bonus PS2 - Submission Time,Bonus PS2 - Lateness (H:M:S),Final Exam,Final Exam - Max Points,Final Exam - Submission Time,Final Exam - Lateness (H:M:S),Total Lateness (H:M:S)
Kingston,Boone,1362041,kboone@example.com,Ph 002C-03,18,20,,48:21:16,28,30,,125:24:45,8,10,,00:00:00,16,20,,00:00:00,18,20,,160:29:36,13,15,,89:24:17,9,10,,86:31:23,
Cedric,Wolfe,1242055,cwolfe@example.com,Ph 002C-01,15,20,,00:00:00,25,30,,75:10:53,9,10,,65:22:57,20,20,,00:00:00,17,20,,132:01:51,12,15,,00:00:00,10,10,,00:00:00,
Enzo,Murphy,1159941,emurphy@example.com,Ph 002C-01,15,20,,95:17:08,29,30,,00:00:00,10,10,,00:00:00,15,20,,00:00:00,17,20,,165:30:15,14,15,,115:50:35,9,10,,00:00:00,
Anais,McCormick,1353348,amccormick@example.com,Ph 002C-02,16,20,,00:00:00,20,30,,00:00:00,7,10,,00:00:00,14,20,,163:35:02,17,20,,00:00:00,12,15,,92:28:41,10,10,,69:32:00,
Mauricio,Hayden,1199537,mhayden@example.com,Ph 002C-01,17,20,,64:23:54,30,30,,00:00:00,7,10,,144:23:01,18,20,,00:00:00,18,20,,00:00:00,15,15,,102:07:21,9,10,,00:00:00,
George,Ellison,1166559,gellison@example.com,Ph 002C-02,18,20,,00:00:00,22,30,,163:30:57,7,10,,115:18:18,17,20,,87:29:55,20,20,,00:00:00,12,15,,143:04:42,9,10,,24:11:02,
Neil,Sellers,1219657,nsellers@example.com,Ph 002C-02,19,20,,143:13:59,25,30,,89:40:00,7,10,,59:13:53,17,20,,00:00:00,20,20,,00:00:00,12,15,,48:34:54,7,10,,01:42:09,
Paris,Newton,2811033,pnewton@example.com,Ph 002C-02,14,20,,00:00:00,26,30,,166:26:11,8,10,,78:54:31,15,20,,00:00:00,15,20,,00:00:00,13,15,,00:00:00,8,10,,00:00:00,
Avayah,McCall,1394117,amccall@example.com,Ph 002C-02,13,20,,26:00:05,25,30,,142:56:48,8,10,,00:00:00,15,20,,00:00:00,16,20,,00:00:00,13,15,,00:00:00,9,10,,132:32:19,
Kiaan,Benton,1169995,kbenton@example.com,Ph 002C-02,18,20,,117:05:10,25,30,,00:00:00,8,10,,00:00:00,18,20,,59:22:41,16,20,,00:00:00,11,15,,00:00:00,9,10,,00:00:00,
Teresa,Cain,1018074,tcain@example.com,Ph 002C-01,19,20,,00:00:00,26,30,,00:00:00,9,10,,88:59:32,14,20,,93:04:42,19,20,,00:00:00,13,15,,00:00:00,8,10,,32:59:46,
Stevie,Medina,1057870,smedina@example.com,Ph 002C-01,15,20,,00:00:00,26,30,,00:00:00,9,10,,00:00:00,13,20,,35:26:22,17,20,,131:41:27,13,15,,149:46:15,10,10,,46:31:43,
Emmeline,Bernal,1803001,ebernal@example.com,Ph 002C-01,15,20,,00:00:00,28,30,,29:44:50,8,10,,00:00:00,17,20,,01:52:01,17,20,,24:20:03,12,15,,00:00:00,9,10,,82:54:48,
Donovan,Leal,1190453,dleal@example.com,Ph 002C-03,18,20,,00:00:00,25,30,,05:56:24,7,10,,00:00:00,15,20,,162:41:51,17,20,,00:00:00,10,15,,00:00:00,9,10,,123:47:14,
Colter,Hurst,1198772,churst@example.com,Ph 002C-01,16,20,,00:00:00,29,30,,00:00:00,8,10,,82:26:26,15,20,,00:00:00,17,20,,00:00:00,12,15,,00:00:00,9,10,,00:00:00,
Isabelle,Guzman,1449121,iguzman@example.com,Ph 002C-01,20,20,,00:00:00,27,30,,00:00:00,10,10,,00:00:00,17,20,,97:29:46,20,20,,74:27:03,15,15,,00:00:00,9,10,,00:00:00,
Bria,Dudley,1111873,bdudley@example.com,Ph 002C-03,10,20,,00:00:00,22,30,,00:00:00,9,10,,00:00:00,20,20,,11:50:33,14,20,,52:55:45,12,15,,00:00:00,9,10,,39:42:37,
Ashley,Atkins,1324917,aatkins@example.com,Ph 002C-03,18,20,,00:00:00,26,30,,53:24:11,10,10,,95:05:07,18,20,,116:15:19,14,20,,00:00:00,12,15,,00:00:00,8,10,,88:49:11,
Jamison,Palacios,1087250,jpalacios@example.com,Ph 002C-03,17,20,,97:18:15,20,30,,00:00:00,8,10,,00:00:00,15,20,,50:56:09,17,20,,00:00:00,14,15,,36:36:23,10,10,,00:00:00,
